က	k a̰
နှလုံးရောဂါ	n̥ ə l ó ʊ ɴ j ɔ́ ɡ à
နှာ	n̥ à
နှာခေါင်း	n̥ ə kʰ á ʊ ɴ
နှာခေါင်းပေါက်	n̥ ə kʰ á ʊ ɴ b a ʊ ʔ
နှာဘူး	n̥ à b ú
နှာမောင်း	n̥ ə m á ʊ ɴ
နှိပ်ကြယ်သီး	n̥ e ɪ ʔ t͡ɕ ɛ̀ ð í
နှုတ်	n̥ o ʊ ʔ
နှုတ်ခမ်း	n̥ o ʊ ʔ kʰ á ɴ
နှုတ်ဆက်	n̥ o ʊ ʔ sʰ ɛ ʔ
နှုတ်သီး	n̥ o ʊ ʔ θ í
နှော	n̥ ɔ́
နှောက်	n̥ a ʊ ʔ
နှောင်း	n̥ á ʊ ɴ
နှေး	n̥ é
နှံကောင်	n̥ à ɴ ɡ à ʊ ɴ
ပကတိ	b ə ɡ ə d ḭ
ပကောဋိ	p ə k ɔ́ d ḭ
ပက်ကျိ	p ɛ ʔ t͡ɕ ḭ
ပခုက္ကူ	p ə kʰ ù k k ù
ပခုံး	p ə kʰ ó ʊ ɴ
ပင့်	p ɪ̰ ɴ
ပင့်ကူ	p ɪ̰ ɴ ɡ ù
ပင့်ကူအိမ်	p ɪ̰ ɴ ɡ ù ʔ è ɪ ɴ
ပင်ဂွင်	p ɪ̀ ɴ ɡ w ɪ̀ ɴ
ပင်စင်	p ɪ̀ ɴ s ɪ̀ ɴ
ပင်စင်စား	p ɪ̀ ɴ s ɪ̀ ɴ s á
ပင်စည်	p ɪ̀ ɴ z ì
ပင်စိမ်း	p ɪ̀ ɴ z é ɪ ɴ
ပင်စိမ်းမွှေး	p ɪ̀ ɴ z é ɪ ɴ m̥ w é
ပင်မှည့်	p ɪ̀ ɴ m̥ ɛ̰
ပင်လယ်	p ɪ̀ ɴ l ɛ̀
ပင်လယ်ဆား	p ɪ̀ ɴ l ɛ̀ z á
ပင်လယ်ဓားပြ	p ɪ̀ ɴ l ɛ̀ d ə m j a̰
ပစ္စက္ခ	p ɪ ʔ s ɛ ʔ kʰ a̰
ပစ္စည်း	p ɪ ʔ s í
ပစ္စည်းလေးပါး	p j ɪ ʔ s í l é b á
ပစ္စယာ	p j ɪ ʔ s ə j à
ပစ္စုပ္ပန်	p ɪ ʔ s o ʊ ʔ p à ɴ
ပစ္ဆိမ	p j ɪ ʔ sʰ e ɪ ʔ m a̰
ပစ်	p j ɪ ʔ
ပဇာ	b ə z à
ပဉ္စင်တူရိယာ	p j ɪ ʔ s ɪ̀ ɴ t ù ɹ ḭ j à
ပဉ္စင်း	b ə z ɪ́ ɴ
ပဉ္စမ	p j ɪ̀ ɴ s ə m a̰
ပဉ္စရူပ	p ɪ̀ ɴ s a̰ j ù p a̰
ပဉ္စလက်	p ɪ̀ ɴ s ə l ɛ ʔ
ပညတ်	p j ɪ̰ ɴ n a ʔ
ပညာ	p j ɪ̀ ɴ ɲ à
ပညာကျော်	p j ɪ̀ ɴ ɲ à d͡ʑ ɔ̀
ပညာပေး	p j ɪ̀ ɴ ɲ à p é
ပညာဗလ	p j ɪ̀ ɴ ɲ à b ə l a̰
ပညာရေး	p j ɪ̀ ɴ ɲ à j é
ပညာရှင်	p j ɪ̀ ɴ ɲ à ʃ ɪ̀ ɴ
ပဋိပက္ခ	p ə t ḭ p ɛ ʔ kʰ a̰
ပဋိသန္ဓေ	p ə d ḭ θ à ɴ d è
ပဌမ	p a̰ tʰ a̰ m a̰
ပဏ္ဍိတ	p à n d ḭ t a̰
ပဏ္ဏာ	p ə n à
ပတ္တမြား	b ə d ə m j á
ပတ္တလား	p a ʔ t a̰ l á
ပတ္ထနာ	p ə tʰ ə n à
ပတ်	p a ʔ
ပတ်စပို့	p a ʔ s ə p o̰
ပတ်တီး	p a ʔ t í
ပထမ	p a̰ tʰ a̰ m a̰
ပထမဘွဲ့	p a̰ tʰ ə m a̰ b w ɛ̰
ပထဝီဝင်	p ə tʰ ə w ì w ɪ̀ ɴ
ပထွေး	p ə tʰ w é
ပဒေသရာဇ်	b ə d è θ ə ɹ ɪ ʔ
ပဒေသာ	b ə d è ð à
ပဒေသာပင်	b ə d è ð à b ɪ̀ ɴ
ပနားမား	p a̰ n á m á
ပန်	p à ɴ
ပန်ကာ	p à ɴ k à
ပန်း	p á ɴ
ပန်းကန်	b ə ɡ à ɴ
ပန်းခုနစ်မည်	p á ɴ kʰ ə n ə m j ì
ပန်းချီ	b ə d͡ʑ ì
ပန်းချီဆရာ	b ə d͡ʑ ì sʰ ə j à
ပန်းခြံ	p á ɴ d͡ʑ à ɴ
ပန်းစည်း	p á ɴ z í
ပန်းဆယ်မျိုး	p á ɴ sʰ ɛ̀ m j ó
ပန်းတဉ်း	b ə d ɪ́ ɴ
ပန်းတမော့	p á ɴ d ə m ɔ̰
ပန်းတော့	p á ɴ d ɔ̰
ပန်းထိမ်	b ə d è ɪ ɴ
ပန်းနာ	p á ɴ n à
ပန်းနာရင်ကျပ်	p á ɴ n à j ɪ̀ ɴ t͡ɕ a ʔ
ပန်းပု	b ə b ṵ
ပန်းပဲ	b ə b ɛ́
ပန်းပွတ်	b ə b ʊ ʔ
ပန်းယွန်း	p á ɴ j ʊ́ ɴ
ပန်းရန်	b ə j à ɴ
ပန်းရွဲ	p á ɴ j w ɛ́
ပန်းသီး	p á ɴ ð í
ပန်းသေရောဂါ	p á ɴ θ è j ɔ́ ɡ à
ပန်းသေး	p á ɴ ð é
ပန်းသေးခေါက်ဆွဲ	p á ɴ θ é kʰ a ʊ ʔ sʰ w ɛ́
ပန်းအိ	p á ɴ ʔ ḭ
ပန်းအိုး	p á ɴ ʔ ó
ပမာဏ	p ə m à n a̰
ပယောဂ	p ə j ɔ́ ɡ a̰
ပယ်ရှား	p ɛ̀ ʃ á
ပရဟိတ	p ə ɹ a̰ h ḭ t a̰
ပရိက္ခရာ	p ə ɹ e ɪ ʔ kʰ ə j à
ပရိဒေဝ	p ə ɹ ḭ d è w a̰
ပရိဘောဂ	p ə ɹ ḭ b ɔ́ ɡ a̰
ပရိယာယ်	p ə ɹ ḭ j è
ပရိသတ်	p ə j e ɪ ʔ θ a ʔ
ပရိုဂရမ်	p ə ɹ ò ɡ ə ɹ à ɴ
ပရိုဂျက်	p ə ɹ ò d͡ʑ ɛ ʔ
ပရုတ်	p ə j o ʊ ʔ
ပလတ်	p ə l a ʔ
ပလတ်စတစ်	p ə l a ʔ s ə t ɪ ʔ
ပလပ်စတစ်	p ə l a ʔ s ə t ɪ ʔ
ပလာတာ	p ə l à t à
ပလိပ်	p ə l e ɪ ʔ
ပလူတိုနီယမ်	p ə l ù t ò n ì j à ɴ
ပလောင်	p ə l à ʊ ɴ
ပလ္လင်	p ə l ɪ̀ ɴ
ပဝါ	p a̰ w à
ပဝေဏီ	p ə w è n ì
ပသီ	p ə θ ì
ပသျှူး	p ə ʃ ú
ပသျှူးရာမ	p ə ʃ ú j à m a̰
ပအို့ဝ်	p ə ʔ o̰
ပါ	p à
ပါကစ္စတန်	p à k ɪ ʔ s ə t à ɴ
ပါဆယ်	p à sʰ ɛ̀
ပါတာနီ	p à t à n ì
ပါတိတ်	p à t e ɪ ʔ
ပါတီ	p à t ì
ပါပူအာနယူးဂီနီ	p à p ù ʔ à n ə j ú ɡ ì n ì
ပါမောက္ခ	p à m a ʊ ʔ kʰ a̰
ပါရဂူဘွဲ့	p à j ə ɡ ù b w ɛ̰
ပါရမီ	p à ɹ ə m ì
ပါရရာ	p à ɹ ə j à
ပါရီ	p à ɹ ì
ပါရှား	p à ʃ á
ပါလက်စတိုင်း	p à l ɛ ʔ s ə t á ɪ ɴ
ပါလီမန်	p à l ì m à ɴ
ပါဝါ	p à w à
ပါဠိ	p à l ḭ
ပါး	p á
ပါးစပ်	p ə z a ʔ
ပါးဟက်	p ə h ɛ ʔ
ပာရာဂ္ဝေး	p à ɹ à ɡ w é
ပိဋကတ်	b ḭ t ə ɡ a ʔ
ပိတ်	p e ɪ ʔ
ပိန္နဲ	p è ɪ ɴ n ɛ́
ပိန်းဥ	p é ɪ ɴ ʔ ṵ
ပိရမစ်	p ḭ ɹ ə m ɪ ʔ
ပို	p ò
ပိုက်	p a ɪ ʔ
ပိုက်ဆံ	p a ɪ ʔ sʰ à ɴ
ပိုက်ဆံအိတ်	p a ɪ ʔ sʰ à ɴ ʔ e ɪ ʔ
ပိုက်သမား	p a ɪ ʔ θ ə m á
ပိုင်ရှင်	p à ɪ ɴ ʃ ɪ̀ ɴ
ပိုင်း	p á ɪ ɴ
ပိုစတာ	p ò s ə t à
ပိုတက်ဆီယမ်	p ò t ɛ ʔ sʰ ì j à ɴ
ပိုဒ်	p a ɪ ʔ
ပိုလန်	p ò l à ɴ
ပို့	p o̰
ပို့စကတ်	p o̰ s ə k a ʔ
ပိုး	p ó
ပိုးတောင်မာ	p ó d à ʊ ɴ m à
ပိုးလောင်း	p ó l á ʊ ɴ
ပိုးဟပ်	p ó h a ʔ
ပိုးဟပ်ဖြူ	p ó h a ʔ pʰ j ù
ပိဿာ	p e ɪ ʔ θ à
ပီကင်း	p ì k ɪ́ ɴ
ပီကေ	p ì k è
ပီစီ	p ì s ì
ပီဇာ	p ì z à
ပီတိ	p ì t ḭ
ပီပီ	p ì b ì
ပီရူး	p ì ɹ ú
ပီလောပီနံ	p ì l ɔ́ p ì n à ɴ
ပု	p ṵ
ပုခက်	p ə kʰ ɛ ʔ
ပုဂံ	b ə ɡ à ɴ
ပုဂ္ဂလိက	p o ʊ ʔ ɡ ə l ḭ ɡ a̰
ပုဂ္ဂိုလ်	p o ʊ ʔ ɡ ò
ပုစဉ်း	b ə z ɪ́ ɴ
ပုစ္ဆာ	p o ʊ ʔ sʰ à
ပုစွန်	b ə z ʊ̀ ɴ
ပုဆိန်	p ə sʰ è ɪ ɴ
ပုဆိုး	p ə sʰ ó
ပုဏ္ဏား	p ò ʊ ɴ n á
ပုဏ္ဏားကျွန်း	p ò ʊ ɴ n á d͡ʑ ʊ́ ɴ
ပုတ်သင်ညို	p o ʊ ʔ θ ɪ̀ ɴ ɲ ò
ပုထိုး	p ə tʰ ó
ပုဒ်	p o ʊ ʔ
ပုဒ်ကလေး	p o ʊ ʔ k ə l é
ပုန်ကန်	p ò ʊ ɴ k à ɴ
ပုန်းရည်ကြီး	p ó ʊ ɴ j è d͡ʑ í
ပုပ်	p o ʊ ʔ
ပုဗ္ဗ	p o ʊ ʔ b a̰
ပုရစ်	p ə j ɪ ʔ
ပုရပိုက်	p ə ɹ ə b a ɪ ʔ
ပုရွက်	p ə j w ɛ ʔ
ပုရွက်ဆိတ်	p ə j w ɛ ʔ sʰ e ɪ ʔ
ပုလင်း	p ə l ɪ́ ɴ
ပုလိပ်	p ə l e ɪ ʔ
ပုလဲ	p ə l ɛ́
ပုသိမ်	p ə θ è ɪ ɴ
ပုံ	p ò ʊ ɴ
ပုံဆွဲ	p ò ʊ ɴ sʰ w ɛ́
ပုံတူ	p ò ʊ ɴ d ù
ပုံတူကား	p ò ʊ ɴ d ù k á
ပုံနှိပ်စက်	p ò ʊ ɴ n̥ e ɪ ʔ s ɛ ʔ
ပုံသေနည်း	p ò ʊ ɴ ð è n í
ပုံး	p ó ʊ ɴ
ပူ	p ù
ပူဇော်	p ù z ɔ̀
ပူတင်း	p ù t ɪ́ ɴ
ပူဒီနာ	p ù s ì n à
ပူရ	p ù ɹ a̰
ပူရီ	p ù j ì
ပေကျင်း	p è t͡ɕ ɪ́ ɴ
ပေါက်စီ	p a ʊ ʔ s ì
ပေါက်တူး	p a ʊ ʔ t ú
ပေါင်	p à ʊ ɴ
ပေါင်မုန့်	p à ʊ ɴ m o̰ ʊ ɴ
ပေါင်းတင်း	p á ʊ ɴ d ɪ́ ɴ
ပေါင်းဖို	p á ʊ ɴ b ò
ပေါ့	p ɔ̰
ပေါ်	p ɔ̀
ပေါ်	p ɔ̀
ပေါ်	b ɔ̀
ပေါ်ဆန်းမွှေး	p ɔ̀ sʰ á ɴ m̥ w é
ပေါ်တူဂီ	p ɔ̀ t ù ɡ ì
ပေါ်လစီ	p ɔ̀ l ə s ì
ပေး	p é
ပဲ	p ɛ́
ပဲ	b ɛ́
ပဲ	p ɛ́
ပဲကြီး	p ɛ́ d͡ʑ í
ပဲခူး	b ə ɡ ó
ပဲငံပြာရည်	p ɛ́ ŋ à ɴ b j à j è
ပဲဆီ	p ɛ́ z ì
ပဲပင်ပေါက်	p ɛ́ b ɪ̀ ɴ b a ʊ ʔ
ပဲပိုးတီ	p ɛ́ p ó d ì
ပဲမှုန့်	p ɛ́ m̥ o̰ ʊ ɴ
ပဲ့တင်သံ	p ɛ̰ t ɪ̀ ɴ ð à ɴ
ပျစ်	p j ɪ ʔ
ပျဉ်	p j ɪ̀ ɴ
ပျဉ်းကတိုး	p j ɪ́ ɴ ɡ ə d ó
ပျပျ	p j a̰ b j a̰
ပျား	p j á
ပျားတူ	b a̰ d ù
ပျားထီး	p j á d í
ပျားရည်	p j á j è
ပျိုး	p j ó
ပျူ	p j ù
ပျော့	p j ɔ̰
ပျော်	p j ɔ̀
ပျော်ပျော်	p j ɔ̀ b j ɔ̀
ပျံ	p j à ɴ
ပျံတော်မူ	p j à ɴ t ɔ̀ m ù
ပြ	p j a̰
ပြက္ခဒိန်	p j ɛ ʔ ɡ ə d è ɪ ɴ
ပြင်	p j ɪ̀ ɴ
ပြင်ပြင်	p j ɪ̀ ɴ b j ɪ̀ ɴ
ပြင်သစ်	p j ɪ̀ ɴ θ ɪ ʔ
ပြင်သည်	p j ɪ̀ ɴ θ ì
ပြင်း	p j ɪ́ ɴ
ပြင်းဟုပ်	p j ɪ́ ɴ h o ʊ ʔ
ပြစ်မှု	p j ɪ ʔ m̥ ṵ
ပြည့်	p j ḛ
ပြည့်တန်ဆာ	p j ḭ d ə z à
ပြည်	p j ì
ပြည်ကြီးငါး	p j ì d͡ʑ í ŋ á
ပြည်ထောင်စု	p j ì d à ʊ ɴ z ṵ
ပြည်ထောင်စုတော်လှန်ရေးကောင်စီအဖွဲ့	p j ì d à ʊ ɴ z ṵ t ɔ̀ l̥ à ɴ j é k à ʊ ɴ s ì ʔ ə pʰ w ɛ̰
ပြည်ထောင်စုနေ့	p j ì d à ʊ ɴ z ṵ n ḛ
ပြည်ထောင်စုလွှတ်တော်	p j ì d à ʊ ɴ z ṵ l̥ ʊ ʔ t ɔ̀
ပြည်နယ်	p j ì n ɛ̀
ပြည်သူ	p j ì ð ù
ပြည်သူပိုင်	p j ì ð ù b à ɪ ɴ
ပြည်သူပိုင်သိမ်း	p j ì ð ù b à ɪ ɴ ð é ɪ ɴ
ပြည်သူပြည်သား	p j ì ð ù p j ì ð á
ပြည်သူ့ဆိုင်	p j ì ð ṵ sʰ à ɪ ɴ
ပြည်သူ့လွှတ်တော်	p j ì ð ṵ l̥ ʊ ʔ t ɔ̀
ပြဌာန်း	p j a̰ tʰ á ɴ
ပြတင်းပေါက်	b ə d ɪ́ ɴ b a ʊ ʔ
ပြတိုက်	p j a̰ d a ɪ ʔ
ပြဒါး	b ə d á
ပြဒါးချိန်	b ə d á d͡ʑ è ɪ ɴ
ပြန်	p j à ɴ
ပြန်ကြား	p j à ɴ t͡ɕ á
ပြန်ကြားရေး	p j à ɴ t͡ɕ á j é
ပြန်လှန်	p j à ɴ l̥ à ɴ
ပြပွဲ	p j a̰ b w ɛ́
ပြယုဂ်	p j a̰ j o ʊ ʔ
ပြသ	p j a̰ θ a̰
ပြာ	p j à
ပြာခွက်	p j à ɡ w ɛ ʔ
ပြာဋိဟာ	p j à d ḭ h à
ပြာတာ	p j à t à
ပြာသာဒ်	p j a ʔ θ a ʔ
ပြာသို	p j à ð ò
ပြား	p j á
ပြိတ္တာ	p j e ɪ ʔ t à
ပြိုင်ပွဲ	p j à ɪ ɴ b w é
ပြီ	p j ì
ပြီး	p í
ပြီးပြီ	p í b ì
ပြု	p j ṵ
ပြုတ်	p j o ʊ ʔ
ပြုပြင်	p j ṵ b j ɪ̀ ɴ
ပြုံယမ်း	p j ò ʊ ɴ j á ɴ
ပြုံး	p j ó ʊ ɴ
ပြော	p j ɔ́
ပြောင်း	p j á ʊ ɴ
ပြောင်းဖူး	p j á ʊ ɴ b ú
ပြေး	p j é
ပြွတ်	p j ʊ ʔ
ပြွန်	p j ʊ̀ ɴ
ပြဿနာ	p j a ʔ θ ə n à
ပွတ်	p ʊ ʔ
ပွား	p w á
ပွိုင့်	p w a̰ ɪ ɴ
ပွေး	p w é
ပွဲ	p w ɛ́
ပွဲတော်	p w ɛ́ d ɔ̀
ဖက်	pʰ ɛ ʔ
ဖက်ရှင်	pʰ ɛ ʔ ʃ ɪ̀ ɴ
ဖက်ဝန်း	pʰ ɛ ʔ w ʊ́ ɴ
ဖခင်	pʰ a̰ ɡ ɪ̀ ɴ
ဖငယ်	pʰ a̰ ŋ ɛ̀
ဖင်	pʰ ɪ̀ ɴ
ဖင်လန်	pʰ ɪ̀ ɴ l à ɴ
ဖင်လျက်	pʰ ɪ̀ ɴ j ɛ ʔ
ဖတ်	pʰ a ʔ
ဖန်တီး	pʰ à ɴ d í
ဖမ်း	pʰ á ɴ
ဖယောင်း	pʰ ə j á ʊ ɴ
ဖယောင်းတိုင်	pʰ ə j á ʊ ɴ d à ɪ ɴ
ဖယ်ဒရေးရှင်း	pʰ ɛ̀ d ə ɹ é ʃ ɪ́ ɴ
ဖရုံ	pʰ ə j ò ʊ ɴ
ဖရုံဆွဲ	pʰ ə j ò ʊ ɴ z w ɛ́
ဖရဲ	pʰ ə j ɛ́
ဖလား	pʰ ə l á
ဖဝါး	pʰ ə w á
ဖာလူဒါ	pʰ à l ù d à
ဖာသည်မ	pʰ à θ ì m a̰
ဖား	pʰ á
ဖားပြုပ်	pʰ ə b j o ʊ ʔ
ဖားလောင်း	pʰ ə l á ʊ ɴ
ဖိတ်	pʰ e ɪ ʔ
ဖိနပ်	pʰ ə n a ʔ
ဖိလစ်ပိုင်	pʰ ḭ l ɪ ʔ p à ɪ ɴ
ဖိအား	pʰ ḭ ʔ á
ဖိုင်	pʰ à ɪ ɴ
ဖို့	pʰ o̰
ဖီဂျီ	pʰ ì d͡ʑ ì
ဖုတ်	pʰ o ʊ ʔ
ဖုန်	pʰ ò ʊ ɴ
ဖုန်စုပ်စက်	pʰ ò ʊ ɴ s o ʊ ʔ s ɛ ʔ
ဖုန်းနံပါတ်	pʰ ó ʊ ɴ n à ɴ b a ʔ
ဖုံး	pʰ ó ʊ ɴ
ဖူး	b ú
ဖေဖော်ဝါရီ	pʰ è pʰ ɔ̀ w à ɹ ì
ဖေါ်ပြချက်	pʰ ɔ̀ p j a̰ t͡ɕʰ ɛ ʔ
ဖောက်	pʰ a ʊ ʔ
ဖောက်သည်	pʰ a ʊ ʔ θ è
ဖောင်	pʰ à ʊ ɴ
ဖော့ဖျက်	pʰ ɔ̰ b j ɛ ʔ
ဖော့လုံး	pʰ ɔ̰ l ó ʊ ɴ
ဖော်	pʰ ɔ̀
ဖော်ပြ	pʰ ɔ̀ p j a̰
ဖဲ	pʰ ɛ́
ဖဲကြိုး	pʰ ɛ́ d͡ʑ ó
ဖျင်ဖျင်	pʰ j ɪ̀ ɴ b j ɪ̀ ɴ
ဖျာ	pʰ j à
ဖျား	pʰ j á
ဖျောက်ဆိပ်	pʰ j a ʊ ʔ sʰ e ɪ ʔ
ဖျံ	pʰ j à ɴ
ဖြစ်	pʰ j ɪ ʔ
ဖြည်းဖြည်း	pʰ j é b j é
ဖြားယောင်း	pʰ j á j á ʊ ɴ
ဖြီး	pʰ í
ဖြူ	pʰ j ù
ဖြူး	pʰ j ú
ဖြေ	pʰ j è
ဖြေဖျောက်	pʰ j è b j a ʊ ʔ
ဖြေရှင်း	pʰ j è ʃ ɪ́ ɴ
ဖြောင့်	pʰ j a̰ ʊ ɴ
ဖြောဖြော	pʰ j ɔ́ b j ɔ́
ဖြော်ဖြော်	pʰ j ɔ̀ b j ɔ̀
ဖွင့်	pʰ w ɪ̰ ɴ
ဖွား	pʰ w á
ဖွဲ့စည်းပုံ	pʰ w ɛ̰ z í b ò ʊ ɴ
ဖွဲ့စည်းပုံအခြေခံဥပဒေ	pʰ w ɛ̰ z í b ò ʊ ɴ ʔ ə t͡ɕʰ è ɡ à ɴ ʔ ṵ b ə d è
ဗက်တီးရီးယား	b ɛ ʔ t í ɹ í j á
ဗင်နီဇွဲလား	b ɪ̀ ɴ n ì z w ɛ́ l á
ဗညား	b ə ɲ á
ဗန်တို	b à ɴ d ò
ဗန်ရှည်	b à ɴ ʃ è
ဗန်းမော်	b á ɴ m ɔ̀
ဗမာ	b ə m à
ဗမာ	b ə m a̰
ဗမာ့	b ə m a̰
ဗလ	b ə l a̰
ဗလဝ	b ə l ə w a̰
ဗလာစာအုပ်	b ə l à s à ʔ o ʊ ʔ
ဗလီ	b ə l ì
ဗဟို	b ə h ò
ဗဟုသုတ	b ə h ṵ θ ṵ t a̰
ဗာတီကန်	b à t ì k à ɴ
ဗာလ	b à l a̰
ဗာလချောင်	b à l a̰ t͡ɕʰ à ʊ ɴ
ဗားနစ်	b á n ɪ ʔ
ဗိမာန်	b e ɪ ʔ m à ɴ
ဗိသုကာ	b ḭ ð ə ɡ à
ဗိုက်	b a ɪ ʔ
ဗိုက်ကြီး	b a ɪ ʔ t͡ɕ í
ဗိုင်း	b á ɪ ɴ
ဗိုင်းရပ်စ်	b á ɪ ɴ ɹ a ʔ s
ဗိုလ်	b ò
ဗိုလ်ကျ	b ò t͡ɕ a̰
ဗိုလ်ကြီး	b ò d͡ʑ í
ဗိုလ်ချုပ်	b ò d͡ʑ o ʊ ʔ
ဗိုလ်ချုပ်ကြီး	b ò d͡ʑ o ʊ ʔ d͡ʑ í
ဗိုလ်ချုပ်မှူးကြီး	b ò d͡ʑ o ʊ ʔ m̥ ú d͡ʑ í
ဗိုလ်မှူး	b ò m̥ ú
ဗိုလ်မှူးကြီး	b ò m̥ ú d͡ʑ í
ဗိုလ်မှူးချုပ်	b ò m̥ ú d͡ʑ o ʊ ʔ
ဗိုလ်လောင်း	b ò l á ʊ ɴ
ဗို့	b o̰
ဗို့အား	b o̰ ʔ á
ဗိဿနိုး	b e ɪ ʔ θ ə n ó
ဗီဇ	b ì z a̰
ဗီဇာ	b ì z à
ဗီတာမင်	b ì t à m ɪ̀ ɴ
ဗီဒီယို	b ì d ì j ò
ဗီယက်နမ်	b ì j ɛ ʔ n à ɴ
ဗီယင်ကျန်း	b ì j ɪ̀ ɴ t͡ɕ á ɴ
ဗီရို	b ì j ò
ဗုဒ္ဓ	b o ʊ ʔ d a̰
ဗုဒ္ဓဘာသာ	b o ʊ ʔ d a̰ b à θ à
ဗုဒ္ဓသာသနာ	θ à ð ə n à
ဗုဒ္ဓဟူး	b o ʊ ʔ d a̰ h ú
ဗုန်း	b ó ʊ ɴ
ဗုံး	b ó ʊ ɴ
ဗေဒ	b è d a̰
ဗောဓိညောင်	b ɔ́ d ḭ ɲ à ʊ ɴ
ဗောဓိသတ်	b ɔ́ d ḭ θ a ʔ
ဗော့ဒ်ကာ	b ɔ̰ d k à
ဗေ့စဘော	b ḛ s ə b ɔ́
ဗျစ်	b j ɪ ʔ
ဗျည်း	b j í
ဗျုပ္ပတ်	b j o ʊ ʔ p a ʔ
ဗျူရို	b j ù ɹ ò
ဗြဟ္မစိုရ်တရား	b j ə m ə z ò j t ə j á
ဗြဟ္မာ	b j ə m à
ဗြာဟ္မဏ	b j à h m a̰ n a̰
ဗြိစ္ဆာ	b j e ɪ ʔ sʰ à
ဗြိတိန်	b j ḭ t è ɪ ɴ
ဗြိတိသျှ	b ə ɹ ḭ t ḭ ʃ a̰
ဘ	b a̰
ဘက္ကဒီးအစ်	b ɛ ʔ k ə d í ʔ ɪ ʔ
ဘက်	b ɛ ʔ
ဘက်ထရီ	b ɛ ʔ tʰ a̰ ɹ ì
ဘကြီး	b a̰ d͡ʑ í
ဘင်	b ɪ̀ ɴ
ဘင်နာ	b ɪ̀ ɴ n à
ဘင်း	b ɪ́ ɴ
ဘင်္ဂလားဒေ့ရှ်	b ɪ̀ ɴ l á d ḛ ʃ
ဘင်္ဂါလီ	b ɪ̀ ɴ ɡ à l ì
ဘဏ္ဍာ	b à n d à
ဘဏ္ဍာရေး	b à n d à j é
ဘဏ်	b à ɴ
ဘဏ်တိုက်	b à ɴ d a ɪ ʔ
ဘတ်	b a ʔ
ဘတ်	pʰ a ʔ
ဘတ်ဂျက်	b a ʔ d͡ʑ ɛ ʔ
ဘတ်စ်ကား	b a ʔ s ə k á
ဘထွေး	b a̰ tʰ w é
ဘန်ကောက်	b à ɴ k a ʊ ʔ
ဘယာ	b ə j à
ဘယ်	b ɛ̀
ဘယ်တုန်းက	b ɛ̀ d ó ʊ ɴ ɡ a̰
ဘယ်တော့	b ɛ̀ d ɔ̰
ဘယ်နှ	b ɛ̀ n̥ a̰
ဘယ်နှစ်	b ɛ̀ n̥ ə
ဘယ်မှ	b ɛ̀ m̥ a̰
ဘယ်ရီလီယမ်	b ɛ̀ ɹ ì l ì j à ɴ
ဘယ်လို	b ɛ̀ l ò
ဘယ်လောက်	b ɛ̀ l a ʊ ʔ
ဘယ်လ်ဂျီယမ်	b ɛ̀ l d͡ʑ ì j à ɴ
ဘယ်သူ	b ə θ ù
ဘယ်သူ့	b ə θ ṵ
ဘရင်ဂျီ	b ə j ɪ̀ ɴ d͡ʑ ì
ဘရဏီ	b a̰ j ə n ì
ဘရာစီယာ	b ə ɹ à s ì j à
ဘရာဇီး	b ə ɹ à z í
ဘရိတ်	b ə ɹ e ɪ ʔ
ဘရူနိုင်း	b ə ɹ ù n á ɪ ɴ
ဘလိဇ်	b ə l ì z
ဘလောက်	b a̰ l a ʊ ʔ
ဘလော့ဂ်	b ə l o ʊ ʔ
ဘလေး	b a̰ l é
ဘဝ	b a̰ w a̰
ဘဝဲ	b ə w ɛ́
ဘဟားမား	b a̰ h á m á
ဘာ	b à
ဘာကီးနားဖားဆို	b à k í n á pʰ á sʰ ò
ဘာရိန်း	b à ɹ é ɪ ɴ
ဘာလင်	b à l ɪ̀ ɴ
ဘာလိ	b à l ḭ
ဘာသာ	b à θ à
ဘာသာစကား	b à θ à z ə ɡ á
ဘာသာပြန်	b à ð à p j à ɴ
ဘာသာဗေဒ	b à θ à b è d a̰
ဘား	b á
ဘား	pʰ á
ဘိက္ခု	b e ɪ ʔ kʰ ṵ
ဘိက္ခုနီ	b ì k kʰ ṵ n ì
ဘိက္ခူ	b e ɪ ʔ kʰ ù
ဘိန်း	b é ɪ ɴ
ဘိန်းမုန့်	b é ɪ ɴ m o̰ ʊ ɴ
ဘိဘိသန	b ḭ b ḭ θ ə n a̰
ဘိလပ်	b ḭ l a ʔ
ဘိသိက်	b e ɪ ʔ θ e ɪ ʔ
ဘိုကလေး	b ò ɡ ə l é
ဘိုက်	b a ɪ ʔ
ဘိုင်	b à ɪ ɴ
ဘိုင်စကယ်	b à ɪ ɴ s ə k ɛ̀
ဘိုင်စကုတ်	b à ɪ ɴ s ə k o ʊ ʔ
ဘိုရွန်	b ò ɹ ʊ̀ ɴ
ဘိုလီးဗီးယား	b ò l í b í j á
ဘိုးဘိုး	pʰ ó pʰ ó
ဘီ	b ì
ဘီစကွတ်	b ì s ə k ʊ ʔ
ဘီနင်	b ì n ɪ̀ ɴ
ဘီယာ	b ì j à
ဘီလာရုဇ်	b ì l à ɹ ù z
ဘီလူး	b ə l ú
ဘီး	b í
ဘီး	b é ɪ ɴ
ဘု	b ṵ
ဘုဉ်းပေး	b ó ʊ ɴ p é
ဘုတ်	b o ʊ ʔ
ဘုန်း	pʰ ó ʊ ɴ
