־אַטש	a t͡ʃ
דעסערט	d ɛ s ɛ ʁ t
דעקל	d ɛ k ɫ̩
דעקן	d ɛ k n̩
דעקרעאָליזאַציע	d ɛ k ʁ ɛ ɔ ɫ i z a t͡s j ɜ
דערבראָטן	d ɛ r b r ɔ t n̩
דערבײַ	d ɛ ʁ b a ɪ̯
דערהײַנטיקונג	d ɛ ʁ h a ɪ̯ n t ɪ k ʊ ŋ ɡ
דערהײַנטיקן	d ɛ ʁ h a ɪ̯ n t ɪ k ŋ̩
דערוואַקסנשאַפֿט	d ə ʁ v a k s n̩ ʃ a f t
דערוואַקסענע	d ə ʁ v a k s ə n ə
דערוואַקסענעם	d ə ʁ v a k s ə n ə m
דערוואַקסענער	d ə ʁ v a k s ə n ə ʁ
דערוואַרט	d ə r v a r t
דערוואַרטן	d ə r v a r t n̩
דערנענטערן	d ɛ r n ɛ n t ə r n̩
דערנענטערן	d ɛ r n ɛ ə n t ə r n̩
דערצו	d ə r t͡s ʊ
דערצייל	d ɛ ʁ t͡s ɛ ɪ̯ ɫ
דערציילן	d ɛ ʁ t͡s ɛ ɪ̯ ɫ ə n
דערציילער	d ɛ ʁ t͡s ɛ ɪ̯ ɫ ə ʁ
דערקוטשיק	d ɛ ʁ k ʊ t͡ʃ ɪ k
דערקוטשען	d ɛ ʁ k ʊ t͡ʃ ə n
דערקלערן	d ɛ ʁ k l ɛ ʁ n̩
דערקענונג	d ɛ ʁ k ɛ n ʊ ŋ ɡ
דערקענען	d ɛ ʁ k ɛ n ə n
דערשרעקן	d ɛ ʁ ʃ ʁ ɛ k n̩
דערשײַנונג	d ɛ ʁ ʃ a ɪ̯ n ʊ ŋ ɡ
דראַקאָן	d ʁ a k ɔ n
דראָט	d ʁ ɔ t
דראָנגאַטש	d r ɔ ŋ ɡ a t͡ʃ
דרויסן	d ʁ ɔ ɪ̯ s n̩
דרום	d u ʁ ə m
דרום	d uː ʁ ə m
דרום	d ɔ ʁ ə m
דרום־אַמעריקע	d ɔ ʁ ə m a m ɛ ʁ ɪ k ə
דרום־ליכט	d ɔ ʁ ə m l ɪ χ t
דרום־מזרח	d ɔ ʁ ə m m ɪ z ʁ ə χ
דרום־מערבֿ	d ɔ ʁ ə m m a ɪ̯ ʁ ə v
דרום־קאָרעע	d ɔ r ɜ m k ɔ r ɛ ɜ
דרומדיק	d uː r ə m d i k
דרומדיק	d ɔ r ə m d i k
דריט	d ʁ ɪ t
דריי	d ʁ a ɪ̯
דריי	d ʁ ɛ ɪ̯
דריידל	d ʁ ɛ ɪ̯ d ɫ̩
דריקן	d ʁ ɪ k n̩
דריקנדיק	d ʁ ɪ k n̩ d ɪ k
דרך־ארץ	d ɛ r ə χ ɛ r ə t͡s
דרך־ארץ	d ɛ r ə χ ɛ ɪ̯ r ə t͡s
דרך־ארץ	d ɛ r χ ɛ r ə t͡s
דרך־ארץ	d ɛ r χ ɛ ɪ̯ r ə t͡s
דרך־ארצדיק	d ɛ r ə χ ɛ r ə t͡s d ɪ k
דרך־ארצדיק	d ɛ r ə χ ɛ ɪ̯ r ə t͡s d ɪ k
דרך־ארצדיק	d ɛ r χ ɛ r ə t͡s d ɪ k
דרך־ארצדיק	d ɛ r χ ɛ ɪ̯ r ə t͡s d ɪ k
דרענגל	d r ɛ ŋ ɡ ɫ̩
דרשענען	d a ʁ ʃ ə n ə n
דרײַ	d r a
דרײַ	d r a ɪ̯
דרײַ	d r aː
דרײַ	d r aː ɪ̯
דרײַסיק	d r a s ɨ k
דרײַסיק	d r a ɪ̯ s ɪ k
דרײַסיק	d r aː s ɪ k
דרײַסיקסט	d ʁ a ɪ̯ s ɪ k s t
דרײַצן	d ʁ a t͡s n̩
דרײַצן	d ʁ a ɪ̯ t͡s n̩
דרײַצן	d ʁ aː t͡s n̩
דײַטש	d a t͡ʃ
דײַטש	d a ɪ̯ t͡ʃ
דײַטש	d aː t͡ʃ
דײַטשלאַנד	d a t͡ʃ ɫ ɔ n d
דײַטשלאַנד	d a ɪ̯ t ʃ ɫ a n d
דײַטשלאַנד	d aː t͡ʃ ɫ a n d
דײַן	d a n
דײַן	d a ɪ̯ n
דײַן	d aː n
דײַנע	d a ɪ̯ n ə
האַביכט	h a b ɪ χ t
האַדן	h a d n̩
האַוואַיִש	h a v a ɪ ʃ
האַלבאינדזל	h a ɫ b ɪ n d͡z ɫ̩
האַלדז	h a ɫ d͡z
האַלזבאַנד	h a ɫ z b a n d
האַלטונג	h a ɫ t ʊ ŋ ɡ
האַלטן	h a ɫ t n̩
האַמער	h a m ə ʁ
האַנטביכל	h a n t b ɪ χ ɫ̩
האַנטבײַטל	h a n t b a ɪ̯ t ɫ̩
האַנטעך	h a n t ə χ
האַנטעכער	h a n t ə χ ə ʁ
האַנטשריפֿט	h a n t ʃ r ɪ f t
האַנפֿלינק	h a n f l ɪ ŋ k
האַקנקרייץ	h a k ŋ̩ k ʁ ɛ ɪ̯ t͡s
האַרץ	h a ʁ t͡s
האָגל	h u ɡ l̩
האָגל	h uː ɡ l̩
האָגל	h ɔ ɡ l̩
האָלאַנד	h ɔ ɫ a n d
האָלענדער	h ɔ ɫ ɛ n d ɛ r
האָן	h ɔ n
האָניק	h ɔ n ɪ k
האָף	h ɔ f
האָפֿן	h ɔ f n̩
האָפֿנטלעך	h ɔ f n̩ t l ə χ
האָפֿסט	h ɔ f s t
האָקי	h ɔ k ɪ
האָקיי	h ɔ k ɛ ɪ̯
האָקן	h aː k ŋ̩
האָקן	h u k ŋ̩
האָקן	h uː k ŋ̩
האָקן	h ɔ k ŋ̩
האָרעוואַניע	h ɔ ʁ ə v a n j ə
האָרעווען	h ɔ ʁ ə v ə n
הו־האַ	h u h a
הויז	h ɔ ɪ̯ z
הויך	h ɔ ɪ̯ ə χ
הויך	h ɔ ɪ̯ χ
הויל	h ɔ ɪ̯ l
הויף	h ɔ j f
הויפּט	h ɔ ɪ̯ p t
הויפּט	h ɛ ɪ̯ p t
הון	h ʊ n
הונדערט	h ɨ n d ə r t
הונדערט	h ɪ n d ə r t
הונדערט	h ʊ n d ə r t
הונט	h ɨ n t
הונט	h ɪ n t
הונט	h ʊ n t
הוסט	h i s t
הוסט	h ʊ s t
הוצאה	h e ɪ̯ t͡s ɔ ə
הוצאה	h ɔ ɪ̯ t͡s uː ə
הוצאה	h ə t͡s uː ə
הוצאה	h ə t͡s ɔ ə
הוראַגאַן	h ʊ ʁ a ɡ a n
הוראַגאַנען	h ʊ ʁ a ɡ a n ə n
הוראַניצע	h ʊ r a n ɪ t͡s ə
הוראַניק	h ʊ r a n ɪ k
הורג	h e ɪ r ə ɡ
הורג	h ɔ ɪ r ə ɡ
הורג	h ɛ ɪ r ə ɡ
הושענא	h ə ʃ a ɪ̯ n ə
הזהרה	h a z h ɔ ʁ ə
הידראָגען	h ɪ d ʁ ɔ ɡ ɛ n
היטן	h ɪ t n̩
הייד	h o j d
הייד	h ɛ i d
היילער	h ɛ ɪ̯ ɫ ə ʁ
היים	h ɛ ɪ̯ m
הייס	h a ɪ̯ s
הייס	h e ɪ̯ s
הייס	h ɛ ɪ̯ s
הייסט	h ɛ ɪ̯ s t
הייסן	h ɛ ɪ̯ s n̩
הייצונג	h ɛ ɪ̯ t͡s ʊ ŋ ɡ
הימל	h ɪ m ɫ̩
הינדל	h ɪ n d ɫ̩
הינט	h ɪ n t
הינטאַרניע	h ɪ n t a r ɲ ə
הינטיש	h ɪ n t ɪ ʃ
הינטעלע	h ɪ n t ə ɫ ə
הינטער	h ɪ n t ə ʁ
היפּאָקריט	h ɪ p ɔ k ʁ i t
היפּאָקריטסטווע	h ɪ p ɔ k r ɪ t s t v ə
היפּוך	h ɛ ɪ̯ p ə x
הירזש	h i ʀ ʒ
הלוואה	a l v u ə
הלוואה	a l v uː ə
הלוואה	a l v ɔ j ə
הלוואה	a l v ɔ ə
הלוואה	h a l v u ə
הלוואה	h a l v uː ə
הלוואה	h a l v ɔ j ə
הלוואה	h a l v ɔ ə
הלכה	h a ɫ ɔ χ ə
המון־עם	h a m o ɪ̯ n a m
המן	h uː m ɜ n
המן	h ɔ m ɜ n
המן־טאַשן	h ɔ m ə n t a s n̩
המן־טאַשן	h ɔ m ə n t a ʃ n̩
המן־טאַשן	h ɔ m ə n t ə s
המן־טאַשן	h ɔ m ə t a s n̩
המן־טאַשן	h ɔ m ə t a ʃ n̩
הנאָה	h a n u ə
הנאָה	h a n uː ə
הנאָה	h a n ɔ ə
הנהגה	a n h u ɡ ə
הנהגה	a n h uː ɡ ə
הנהגה	a n h ɔ ɡ ə
הנהגה	a n u ɡ ə
הנהגה	a n uː ɡ ə
הנהגה	a n ɔ ɡ ə
הנהגה	h a n h u ɡ ə
הנהגה	h a n h uː ɡ ə
הנהגה	h a n h ɔ ɡ ə
הנהגה	h a n u ɡ ə
הנהגה	h a n uː ɡ ə
הנהגה	h a n ɔ ɡ ə
העברעיִש	h ɛ b ʁ ɛ ɪ ʃ
העברעיִשע	h ɛ b ʁ ɛ ɪ ʃ ə
העכט	h ɛ χ t
העלדזער	h ɛ ɫ d͡z ə ʁ
העליום	h ɛ l j ʊ m
העלפֿאַנד	h ɛ l f a n d
העלפֿאַנדן	h ɛ l f a n d n̩
העלפֿט	h ɛ ɫ f t
העלפֿיק	h ɛ ɫ f ɨ k
העלפֿיק	h ɛ ɫ f ɪ k
העמערל	h ɛ m ə ʁ ɫ̩
הענג	h ɛ ŋ ɡ
הענגען	h ɛ ŋ ɡ ə n
הענדל	h ɛ n d ɫ̩
הענער	h ɛ n ə ʁ
העפֿטיק	h ɛ f t ɪ k
הערה	h ə u ʁ ə
הערה	h ə uː ʁ ə
הערה	h ə ɔ ʁ ə
הערצאָג	h ɛ ʁ t͡s ɔ ɡ
הערצאָגשאַפֿט	h ɛ ʁ t͡s ɔ ɡ ʃ a f t
הערצער	h ɛ ʁ t͡s ə ʁ
הפֿסקה	h a f s ɔ k ə
הפֿקר	h ɛ f k ə ʁ
הצטרכות	h ə t͡s t a ʁ χ ə s
השם	h a ʃ ɛ m
התחלה	a s χ uː l ə
התחלה	a s χ ɔ l ə
התחלה	h a s χ uː l ə
התחלה	h a s χ ɔ l ə
הײַיאָר	h a ɪ̯ j ɔ ʁ
הײַנט	a n t
הײַנט	aː n t
הײַנט	h a ɪ̯ n t
הײַפֿיש	h a ɪ̯ f ɪ ʃ
הײַפֿיש	h aː f ɪ ʃ
וואַגינע	v a ɡ ɪ n ə
וואַזע	v a z ə
וואַטיקאַן	v a t ɪ k a n
וואַטשן	v a t͡ʃ n̩
וואַלד	v a ɫ d
וואַלן	v a ɫ n̩
וואַלפֿיש	v a ɫ f ɪ ʃ
וואַנאַדיום	v a n a d j ʊ m
וואַנדאַל	v a n d a ɫ
וואַנט	v a n t
וואַנע	v a n ə
וואַנען	v a n ə n
וואַסער	v a s ə ʁ
וואַסערבאַבעלע	v a s ə ʁ b a b ə ɫ ə
וואַסערהון	v a s ə ʁ h ʊ n
וואַסערשטאָף	v a s ə ʁ ʃ t ɔ f
וואַסערשערער	v a s ə ʁ ʃ ɛ ʁ ə ʁ
וואַסערשרעק	v a s ə ʁ ʃ ʁ ɛ k
וואַפֿליע	v a f ʎ ə
וואַפֿליעניצע	v a f ʎ ə n ɪ t͡s ə
וואַקסט	v a k s t
וואַקסן	v a k s n̩
וואַקצין	v a k t͡s ɪ n
וואַרגן	v a ʁ ɡ n̩
וואַרטן	v a ʁ t n̩
וואַרטסט	v a ʁ t s t
וואַריעטע	v a r j ə t eː
וואַריעטע	v a r j ə t ɛ
וואַרעמען	v a ʁ ə m ə n
וואַרעמעס	v a ʁ ɛ m ɛ s
וואַש	v a ʃ
וואַשבעקן	v a ʃ b ɛ k ŋ̩
וואַשן	v a ʃ n̩
וואַשצימער	v a ʃ t͡s ɪ m ə ʁ
וואָגן	v ɔ ɡ ŋ̩
וואָגן	v ʊ ɡ ŋ̩
וואָך	v ɔ χ
וואָכעדיק	v ɔ χ ə d ɪ k
וואָלוול	v ɔ ɫ v ɫ̩
וואָלט	v ɔ ɫ t
וואָלין	v ɔ ɫ iː n
וואָלף	v ɔ ɫ f
וואָלקן	v ɔ l k n̩
וואָלקן־קראַצער	v ɔ ɫ k n̩ k ʁ a t͡s ə ʁ
וואָלקנס	v ɔ l k n̩ s
וואָלקעלאַק	v ɔ ɫ k ə ɫ a k
וואָנטאָן	v ɔ n t ɔ n
וואָסער	v ɔ s ə ʁ
וואָפֿן	v ɔ f n̩
וואָקאַבולאַר	v ɔ k a b ʊ ɫ a r
וואָקאַל	v ɔ k a ɫ
וואָקזאַל	v ɔ k z a l
וואָראָנע	v ɔ ʁ ɔ n ə
וווּ	v i
וווּ	v iː
וווּ	v uː
וווּ	v ʊ
וווּהין	v ʊ h ɪ n
וווּלקאַן	v ʊ l k a n
וווּנדער	v ʊ n d ə ʁ
וווּנדערלעך	v ʊ n d ə ʁ ɫ ə χ
וווּנדערלעכע	v ʊ n d ə ʁ ɫ ə χ ə
וווּרשטל	v ɪ ʁ ʃ t ɫ̩
וווּרשטל	v ʊ ʁ ʃ t l̩
וווּרשטערײַ	v ʊ r ʃ t ə r a ɪ̯
וווינען	v ɔ j n ə n
ווי	v ɪ
וויִע	v i ə
וויאַזוי	v j a z ɔ ɪ
וויאַנען	v j a n ə n
וויאָלאָנטשעל	v ɪ ɔ ɫ ɔ n t͡ʃ ɛ ɫ
וויאָלאָנטשעלאָ	v ɪ ɔ ɫ ɔ n t͡ʃ ɛ ɫ ɔ
ווידעאָ	v ɪ d ɛ ɔ
ווידעאָ־שפּיל	v ɪ d ɛ ɔ ʃ p ɪ ɫ
ווידער	v ɪ d ə ʁ
ווידערקול	v ɪ d ə ʁ k ɔ l
ווידערקלאַנג	v ɪ d ə ʁ k l a n ɡ
וויזוי	v ɪ z ɔ ɪ
וויזיט	v ɪ z i t
וויזיט	v ɪ z ɪ t
וויזל	v ɪ z ɫ̩
וויזל־קאַץ	v ɪ z ɫ̩ k a t͡s
וויזשניץ	v ɪ ʒ n ɪ t͡s
וויי	v ɛ ɪ̯
ווייטאָג	v ɛ ɪ̯ t ɔ ɡ
ווייטאָגן	v ɛ ɪ̯ t ɔ ɡ n̩
ווייטיק	v ɛ ɪ̯ t ɪ k
ווייטיקדיק	v ɛ ɪ̯ t ɪ k d ɪ k
ווייניק	v ɛ ɪ̯ n ɪ k
ווייניקער	v ɛ ɪ̯ n ɪ k ə ʁ
ווייץ	v a ɪ̯ t͡s
ווייץ	v e ɪ̯ t͡s
ווייץ	v ɛ ɪ̯ t͡s
וויכטיקייט	v ɪ χ t ɪ k a ɪ̯ t
וויל	v ɪ ɫ
ווילד	v ɪ ɫ d
ווילדע	v ɪ ɫ d ə
ווינט	v ɪ n t
וויניצע	v ɪ n ɪ t͡s ə
וויסט	v ɪ s t
וויפֿל	v ɪ f ɫ̩
וויציק	v ɪ t͡s ɪ k
ווירצן	v ɪ r t͡s n̩
וולד	v ɫ a d
ווסתּ	v ɛ s t
וועג	v e ɪ̯ ɡ
וועג	v eː ɡ
וועג	v ɛ ɡ
וועגווײַזער	v ɛ ɡ v a ɪ̯ z ə ʁ
וועגן	v e ɪ̯ ɡ ŋ̩
וועגן	v eː ɡ ŋ̩
וועגן	v ɛ ɡ ŋ̩
וועדליק	v ɛ d ɫ ɪ k
וועט	v ɛ t
וועטער	v ɛ t ə ʁ
וועטשינאַ	v ɛ t͡ʃ ɪ n a
וועטשערע	v ɛ t͡ʃ ə ʁ ə
וועלאָסיפּעד	v ɛ l ɔ s ɪ p ɛ d
וועלט	v ɛ ɫ t
וועלטטייל	v ɛ ɫ t t ɛ ɪ̯ ɫ
וועלן	v ɛ ɫ n̩
וועלף	v ɛ ɫ f
וועלפֿיכע	v ɛ l f ɨ χ ə
וועלפֿיכע	v ɛ l f ɪ χ ə
ווען	v ɛ n
וועסט	v ɛ s t
וועסנע	v ɛ s n ə
וועספּ	v ɛ s p
וועספּע	v ɛ s p ə
וועקער	v ɛ k ə ʁ
ווער	v eː r
ווער	v i r
ווער	v ɛ r
ווערטער	v ɛ ʁ t ə ʁ
ווערמוט	v ɛ r m ʊ t
ווערן	v ɛ ʁ n̩
ווערפֿל	v ɛ ʁ f ɫ̩
וועש	v ɛ ʃ
ווײַ־פֿײַ	v a ɪ̯ f a ɪ̯
ווײַב	v a ɪ̯ b
ווײַב	v aː b
ווײַבעריש	v a b ə ʁ ɪ ʃ
ווײַבעריש	v a ɪ̯ b ə ʁ ɪ ʃ
ווײַבעריש	v aː b ə ʁ ɪ ʃ
ווײַבערש	v a b ə ʁ ʃ
ווײַבערש	v a ɪ̯ b ə ʁ ʃ
ווײַבערש	v aː b ə ʁ ʃ
ווײַבערשול	v a ɪ̯ b ə ʁ ʃ ʊ ɫ
ווײַבערשול	v aː b ə ʁ ʃ ɪ ɫ
ווײַזפֿינגער	v a ɪ z f ɪ n ɡ ə ʁ
ווײַזפֿינגער	v aː z f ɪ n ɡ ə ʁ
ווײַט	v a ɪ̯ t
ווײַל	v a ɪ̯ ɫ
ווײַל	v aː ɫ
ווײַן	v a ɪ̯ n
ווײַנזויף	v a ɪ̯ n z ɔ ɪ̯ f
ווײַנשטיין	v a ɪ̯ n ʃ t e ɪ̯ n
ווײַס	v a s
ווײַס	v a ɪ̯ s
ווײַס	v aː s
ווײַסיאָדלע	v a ɪ̯ s j ɔ d l ə
ווײַסל	v a ɪ̯ s l̩
ווײַסע	v a ɪ̯ s ə
ווײַסער	v a ɪ̯ s ə ʁ
ווײַסצווײַג־אַקאַציע	v a ɪ̯ s t͡s v a ɪ̯ ɡ a k a t͡s j ə
וצדקתך	v ɛ ɪ̯ t͡s ɪ d k ɔ s χ ə
זאַט	z a t
זאַכן	z a χ n̩
זאַל	z a ɫ
זאַלבע	z a ɫ b ə
זאַלבע־נאַנד	z a l b ə n a n d
זאַלץ	z a ɫ t͡s
זאַלצבורג	z a ɫ t͡s b ʊ ʁ ɡ
זאַלציק	z a ɫ t͡s ɪ k
זאַמד	z a m d
זאַמדיק	z a m d ɪ k
זאַמדקאַסטן	z a m d k a s t n̩
זאַמדקאַסטן	z a m k a s t n̩
זאַמעט	z a m ə t
זאַמעט	z ɔ m ə t
זאַמען	z a m ə n
זאַפּאָראָזשיע	z a p ɔ r ɔ ʒ j ə
זאַץ	z a t͡s
זאַק	z a k
זאַקוסקע	z a k ʊ s k ə
זאָ	z ɔ
זאָגן	z u ɡ ŋ̩
זאָגן	z uː ɡ ŋ̩
זאָגן	z ɔ ɡ ŋ̩
זאָגסט	z ɔ ɡ s t
זאָגעניש	z u ɡ ə n ɪ ʃ
זאָגעניש	z ɔ ɡ ə n ɪ ʃ
זאָגעניש	z ʊ ɡ ə n ɪ ʃ
זאָקן	z ɔ k n̩
זויבער	z ɔ ɪ̯ b ə ʁ
זוימען	z ɔ ɪ̯ m n̩
זוימען	z ɛ ɪ̯ m n̩
זויער	z ɔ ɪ̯ ə ʁ
זויער	z ɔ ʊ̯ ə ʁ
זויערשטאָף	z o ʊ̯ ə ʁ ʃ t ɔ f
זויערשטאָף	z ɔ ɪ̯ ə ʁ ʃ t ɔ f
זויפֿן	z o ʊ̯ f n̩
זויפֿן	z ɔ ɪ̯ f n̩
זוך	z ʊ χ
זוכט	z ʊ χ t
זוכן	z ʊ χ n̩
זוכצעטל	z i χ t͡s ɛ t ɫ̩
זוכצעטל	z iː χ t͡s ɛ t ɫ̩
זוכצעטל	z ʊ χ t͡s ɛ t ɫ̩
זומער	z i m ə ʁ
זומער	z iː m ə ʁ
זומער	z ʊ m ə ʁ
זומערהויז	z ʊ m ə ʁ h ɔ ɪ̯ z
זומערפּלאַץ	z i m ə ʁ p ɫ a t͡s
זומערפּלאַץ	z iː m ə ʁ p ɫ a t͡s
זומערפּלאַץ	z ʊ m ə ʁ p ɫ a t͡s
זומפּ	z ɨ m p
זומפּ	z ɪ m p
זומפּ	z ʊ m p
זומפּיק	z ɨ m p ɪ k
זומפּיק	z ɪ m p ɪ k
זומפּיק	z ʊ m p ɪ k
זון	z i n
זון	z iː n
זון	z ɨ n
זון	z ɪ n
זון	z ʊ n
זונה	z e ɪ̯ n ə
זונה	z ɔ ɪ̯ n ə
זונטיק	s ʊ n t ɪ k
זונטיק	z ʊ n t ɪ k
זונטיק	ʒ ʊ n t ɪ k
זוניק	z ʊ n ɪ k
זוניקער	z ʊ n ɪ k ə ʁ
זופּ	z ʊ p
זי	z i
זיבן	z ɪ b n̩
זיבעט	z ɪ b ə t
זיבעטע	z ɪ b ə t ə
זיבעטער	z ɪ b ə t ə ʁ
זיבעציק	z ɪ b ə t͡s ɪ k
זיבעצן	z ɪ b ə t͡s n̩
זיד	z iː d
זיד	z ɪ d
זידן	z i d n̩
זידן	z iː d n̩
זידן	z ɪ d n̩
זיווג	z ɪ v ə ɡ
זיי	z a ɪ̯
זיי	z e ɪ̯
זיי	z ɛ ɪ̯
זיידע	z a ɪ̯ d ə
זיידע	z ɛ ɪ̯ d ə
זיידעס	z ɛ ɪ̯ d ə s
זייער	z a ɪ̯ ə r
זייער	z ɛ ɪ̯ ə r
זילבער	z ɪ l b ə ʁ
זילבער־אַקאַציע	z ɪ l b ə r a k a t͡s j ə
זינגען	z ɪ n ɡ n̩
זינד	z ɪ n d
זינט	z ɪ n t
זיס	z i s
זיס	z iː s
זיס	z ɪ s
זיץ	z ɪ t͡s
זיצן	z ɨ t͡s n̩
זיצן	z ɪ t͡s n̩
זיקנה	z ɨ k n ə
זיקנה	z ɪ k n ə
זכות	z χ ɨ s
זכות	z χ ɪ s
זכות	z χ ʊ s
זכר	z ɔ χ ɜ r
זמן	z m a n
זנבֿ	z u n ə v
זנבֿ	z uː n ə v
זנבֿ	z ɔ n ə v
זעברע	z ɛ b ʁ ə
זעברעס	z ɛ b ʁ ə s
זעגעכץ	z ɛ ɡ ə χ t͡s
זעגשטויב	z ɛ ɡ ʃ t ɔ ɪ̯ b
זעיִק	z ɛ ɪ k
זעיִק	z ɛ ɪ̯ ɪ k
זעכציק	z ɛ χ t͡s ɪ k
זעכצן	z ɛ χ t͡s n̩
זעלב	z ɛ ɫ b
זעלביק	z ɛ ɫ b ɪ k
זעלבן	z ɛ ɫ b n̩
זעלבסטמאָרד	z ɛ l b s t m ɔ r d
זעלבע	z ɛ ɫ b ə
זעלבשטענדיק	z ɛ ɫ b ʃ t ɛ n d ɪ k
זעלטן	z ɛ ɫ t n̩
זעלצערוואַסער	z ɛ ɫ t͡s ə ʁ v a s ə ʁ
זעמל	z ɛ m ɫ̩
זען	z e ɪ̯ n
זען	z eː n
זען	z ɛ n
זענען	z ɛ n ə n
זענעפֿט	z ɛ n ə f t
זעעוודיק	z ɛ ə v d ɪ k
זעעוודיק	z ɛ ɪ̯ ə v d ɪ k
זעצט	z ɛ t͡s t
זעצן	z ɛ t͡s n̩
זעקס	z ɛ k s
זעקסט	z ɛ k s t
זעקסטע	z ɛ k s t ə
זקן	z u k n̩
זקן	z uː k n̩
זקן	z ɔ k n̩
זקנדיק	z u k n̩ d ɨ k
זקנדיק	z uː k n̩ d ɪ k
זקנדיק	z ɔ k n̩ d ɪ k
זקנה	z k a ɪ̯ n ə
זקנה	z k e ɪ̯ n ə
זקנה	z k ɛ ɪ̯ n ə
זקנים	s k ɛ ɪ̯ n ə m
זקניש	z k a ɪ̯ n ɪ ʃ
זקניש	z k e ɪ̯ n ɪ ʃ
זקניש	z k ɛ ɪ̯ n ɨ ʃ
זקניש	z k ɛ ɪ̯ n ɪ ʃ
זשאַבעשוווּם	ʒ a b ə ʃ v ʊ m
זשאַווער	ʒ a v ə ʁ
זשאַווערן	ʒ a v ə ʁ n
זשאָקיי	ʒ ɔ k ɛ ɪ̯
זשוואַווע	ʒ v a v ə
זשוויר	ʒ v ɪ r
זשוק	ʒ ʊ k
זשוראַוו	ʒ ʊ ʁ a v
זשוראַוול	ʒ ʊ ʁ a v ɫ̩
זשיטאָמיר	ʒ ɪ t ɔ m ɪ r
זשיראַף	ʒ ɪ ʁ a f
זשיראַפֿן	ʒ ɪ ʁ a f n̩
זשלאָב	ʒ ɫ ɔ b
זשמוט	ʒ m ʊ t
זשמעניע	ʒ m ɛ n j ə
זשעלע	ʒ ə ɫ ɛ
זשען־זשען	ʒ ə n ʒ ɛ n
זשעני	ʒ ɛ n i
זשענירן	ʒ ə n iː r n̩
זשענירן	ʒ ə n ɪ r n̩
זײַ	z a ɪ̯
זײַד	z a ɪ̯ d
זײַדוואָרעם	z a ɪ̯ d v ɔ r ə m
זײַדן	z a ɪ̯ d n̩
זײַדן־אַפֿע	z a ɪ̯ d n̩ a f ə
זײַט	z a t
זײַט	z a ɪ̯ t
זײַט	z aː t
זײַטל	z a ɪ̯ t ɫ̩
זײַל	z a ɪ̯ ɫ
זײַלן	z a ɪ̯ ɫ n̩
זײַן	z a n
זײַן	z a ɪ̯ n
זײַן	z aː n
זײַנע	z a ɪ̯ n ə
חבֿר	χ a v ə r
חבֿרה־מאַן	χ ɛ v ʁ ə m a n
חבֿרון	χ ɛ v r ə n
חבֿרטע	χ a v ə ʁ t ə
חבֿרים	χ a v a ɪ̯ r ɜ m
חבֿרים	χ a v e ɪ̯ r ɜ m
חבֿרים	χ a v ɛ ɪ̯ r ɜ m
חבֿרים	χ ɔ v ɛ ɪ̯ r ɜ m
חגא	χ u ɡ ə
חגא	χ ɔ ɡ ə
חדשים	χ a d ɔ ʃ ɪ m
חובֿ	χ e ɪ̯ v
חובֿ	χ ɔ ɪ̯ v
חודש	χ e ɪ̯ d ə ʃ
חודש	χ ɔ ɪ̯ d ə ʃ
חווה	χ a v ə
חוטא	χ e ɪ̯ t ə
חוטא	χ ɔ ɪ̯ t ə
חוטאן	χ e ɪ̯ t ə n
חוטאן	χ ɔ ɪ̯ t ə n
חול־המועד	χ a ɫ ə m ɔ ɪ̯ ə d
חולנית	χ e ɪ̯ l a n ə s
חולנית	χ ɔ ɪ̯ l a n ə s
חונף	χ e ɪ̯ n ə f
חונף	χ ɔ ɪ̯ n ə f
חוצפּה	χ ɪ t͡s p ə
חוצפּה	χ ʊ t͡s p ə
חורבן	χ ɔ r b n̩
חורבן	χ ɛ r b n̩
חורבן	χ ʊ r b n̩
חורש	χ e ɪ̯ r ə ʃ
חורש	χ ɔ ɪ̯ r ə ʃ
חושימדיק	χ uː ʃ ə m d ɪ k
חושימדיק	χ uː ʃ ɪ m d ɪ k
חזיון	χ ɪ z ɔ ɪ̯ ə n
חזיונות	χ ɪ z j ɔ ɪ̯ n ə s
חזיר־ניסל	χ a z ə ʁ n ɪ s ɫ̩
חזירים	χ a z ɛ ɪ̯ ʁ ə m
חזירימלעך	χ a z e ɪ̯ r ə m ɫ ə χ
חזירימלעך	χ a z e ɪ̯ r ɪ m ɫ ə χ
חזירײַ	χ a z ə r a ɪ̯
חזרן	χ a z ə ʁ ə n
חטא	χ ɛ t
חיה	χ a ɪ̯ ə
חיות	χ a ɪ̯ ə s
חיות	χ ɪ j ə s
חכם	χ ɔ χ ə m
חכמים	χ a χ ɔ m ə m
חלבֿ	x ɛ j ɫ ɛ v
חלה	χ a ɫ ə
חלומדיק	χ u l ə m d ɪ k
חלומדיק	χ uː l ə m d ɪ k
חלומדיק	χ ɔ l ə m d ɪ k
חלומען	χ ɔ ɫ ə m ə n
חלות	χ a ɫ ə s
חלל	χ ɔ ɫ ə ɫ
חלק	χ ɛ ɪ̯ ɫ ə k
חלש	χ a ɫ ə ʃ
חלשן	χ a ɫ ə ʃ n̩
חמץ	χ u m ə t͡s
חמץ	χ ɔ m ə t͡s
חמצדיק	χ u m ə t͡s d ɪ k
חמצדיק	χ ɔ m ə t͡s d ɪ k
חן־יאָדלע	χ ɛ ɪ̯ n j ɔ d ɫ ə
