accessoiriser	a k s ɛ s w a ʁ i z e
accident	a k s i d ɑ̃
accidenté	a k s i d ɑ̃ t e
accidentel	a k s i d ɑ̃ t ɛ l
accidentellement	a k s i d ɑ̃ t ɛ l m ɑ̃
accipitrin	a k s i p i t ʁ ɛ̃
accipitrine	a k s i p i t ʁ i n
accipitrines	a k s i p i t ʁ i n
accipitrins	a k s i p i t ʁ ɛ̃
accisien	a k s i z j ɛ̃
accisienne	a k s i z j ɛ n
acclama	a k l a m a
acclamai	a k l a m e
acclamaient	a k l a m ɛ
acclamais	a k l a m ɛ
acclamait	a k l a m ɛ
acclamâmes	a k l a m ɑ m
acclamant	a k l a m ɑ̃
acclamas	a k l a m ɑ
acclamasse	a k l a m a s
acclamassent	a k l a m a s
acclamasses	a k l a m a s
acclamassiez	a k l a m a s j e
acclamassions	a k l a m a s j ɔ̃
acclamât	a k l a m ɑ
acclamâtes	a k l a m ɑ t
acclamation	a k l a m a s j ɔ̃
acclamative	a k l a m a t i v
acclame	a k l a m
acclamé	a k l a m e
acclament	a k l a m
acclamer	a k l a m e
acclamera	a k l a m ʁ a
acclamerai	a k l a m ʁ e
acclameraient	a k l a m ʁ ɛ
acclamerais	a k l a m ʁ ɛ
acclamerait	a k l a m ʁ ɛ
acclameras	a k l a m ʁ ɑ
acclamèrent	a k l a m ɛ ʁ
acclamerez	a k l a m ʁ e
acclameriez	a k l a m ə ʁ j e
acclamerions	a k l a m ə ʁ j ɔ̃
acclamerons	a k l a m ʁ ɔ̃
acclameront	a k l a m ʁ ɔ̃
acclames	a k l a m
acclamez	a k l a m e
acclamiez	a k l a m j e
acclamions	a k l a m j ɔ̃
acclamons	a k l a m ɔ̃
acclimatation	a k l i m a t a s j ɔ̃
acclimatement	a k l i m a t m ɑ̃
acclimater	a k l i m a t e
accointer	a k w ɛ̃ t e
accolade	a k ɔ l a d
accolades	a k ɔ l a d
accolé	a k ɔ l e
accoler	a k ɔ l e
accombante	a k ɔ̃ b ɑ̃ t
accommodant	a k ɔ m ɔ d ɑ̃
accommodation	a k ɔ m ɔ d a s j ɔ̃
accommodatrice	a k ɔ m ɔ d a t ʁ i s
accommodement	a k ɔ m ɔ d m ɑ̃
accommoder	a k ɔ m ɔ d e
accompagnateur	a k ɔ̃ p a ɲ a t œ ʁ
accompagnateurs	a k ɔ̃ p a ɲ a t œ ʁ
accompagnatrice	a k ɔ̃ p a ɲ a t ʁ i s
accompagnatrices	a k ɔ̃ p a ɲ a t ʁ i s
accompagné	a k ɔ̃ p a ɲ e
accompagnement	a k ɔ̃ p a ɲ m ɑ̃
accompagner	a k ɔ̃ p a ɲ e
accompli	a k ɔ̃ p l i
accomplîmes	a k ɔ̃ p l i m
accomplir	a k ɔ̃ p l i ʁ
accomplira	a k ɔ̃ p l i ʁ a
accomplirai	a k ɔ̃ p l i ʁ e
accompliraient	a k ɔ̃ p l i ʁ ɛ
accomplirais	a k ɔ̃ p l i ʁ ɛ
accomplirait	a k ɔ̃ p l i ʁ ɛ
accompliras	a k ɔ̃ p l i ʁ ɑ
accomplirent	a k ɔ̃ p l i ʁ
accomplirez	a k ɔ̃ p l i ʁ e
accompliriez	a k ɔ̃ p l i ʁ j e
accomplirions	a k ɔ̃ p l i ʁ j ɔ̃
accomplirons	a k ɔ̃ p l i ʁ ɔ̃
accompliront	a k ɔ̃ p l i ʁ ɔ̃
accomplissaient	a k ɔ̃ p l i s ɛ
accomplissais	a k ɔ̃ p l i s ɛ
accomplissait	a k ɔ̃ p l i s ɛ
accomplissant	a k ɔ̃ p l i s ɑ̃
accomplisse	a k ɔ̃ p l i s
accomplissement	a k ɔ̃ p l i s m ɑ̃
accomplissent	a k ɔ̃ p l i s
accomplisses	a k ɔ̃ p l i s
accomplissez	a k ɔ̃ p l i s e
accomplissiez	a k ɔ̃ p l i s j e
accomplissions	a k ɔ̃ p l i s j ɔ̃
accomplissons	a k ɔ̃ p l i s ɔ̃
accomplit	a k ɔ̃ p l i
accomplît	a k ɔ̃ p l i
accomplîtes	a k ɔ̃ p l i t
accord	a k ɔ ʁ
accordailles	a k ɔ ʁ d a j
accordant	a k ɔ ʁ d ɑ̃
accordé	a k ɔ ʁ d e
accordée	a k ɔ ʁ d e
accordéon	a k ɔ ʁ d e ɔ̃
accordéoniste	a k ɔ ʁ d e ɔ n i s t
accordéonistes	a k ɔ ʁ d e ɔ n i s t
accordéons	a k ɔ ʁ d e ɔ̃
accorder	a k ɔ ʁ d e
accornée	a k ɔ ʁ n e
accort	a k ɔ ʁ
accosta	a k ɔ s t a
accostai	a k ɔ s t e
accostaient	a k ɔ s t ɛ
accostais	a k ɔ s t ɛ
accostait	a k ɔ s t ɛ
accostâmes	a k ɔ s t ɑ m
accostant	a k ɔ s t ɑ̃
accostas	a k ɔ s t ɑ
accostasse	a k ɔ s t a s
accostassent	a k ɔ s t a s
accostasses	a k ɔ s t a s
accostassiez	a k ɔ s t a s j e
accostassions	a k ɔ s t a s j ɔ̃
accostât	a k ɔ s t ɑ
accostâtes	a k ɔ s t ɑ t
accoste	a k ɔ s t
accosté	a k ɔ s t e
accostent	a k ɔ s t
accoster	a k ɔ s t e
accostera	a k ɔ s t ə ʁ a
accosterai	a k ɔ s t ə ʁ e
accosteraient	a k ɔ s t ə ʁ ɛ
accosterais	a k ɔ s t ə ʁ ɛ
accosterait	a k ɔ s t ə ʁ ɛ
accosteras	a k ɔ s t ə ʁ ɑ
accostèrent	a k ɔ s t ɛ ʁ
accosterez	a k ɔ s t ə ʁ e
accosteriez	a k ɔ s t ə ʁ j e
accosterions	a k ɔ s t ə ʁ j ɔ̃
accosterons	a k ɔ s t ə ʁ ɔ̃
accosteront	a k ɔ s t ə ʁ ɔ̃
accostes	a k ɔ s t
accostez	a k ɔ s t e
accostiez	a k ɔ s t j e
accostions	a k ɔ s t j ɔ̃
accostons	a k ɔ s t ɔ̃
accoter	a k ɔ t e
accouchement	a k u ʃ m ɑ̃
accoucher	a k u ʃ e
accoucheur	a k u ʃ œ ʁ
accoucheurs	a k u ʃ œ ʁ
accoucheuse	a k u ʃ ø z
accoucheuses	a k u ʃ ø z
accouder	a k u d e
accoudoir	a k u d w a ʁ
accouplement	a k u p l ə m ɑ̃
accoupler	a k u p l e
accourcir	a k u ʁ s i ʁ
accourcissement	a k u ʁ s i s m ɑ̃
accourir	a k u ʁ i ʁ
accoutrement	a k u t ʁ ə m ɑ̃
accoutrer	a k u t ʁ e
accoutumance	a k u t y m ɑ̃ s
accoutumé	a k u t y m e
accoutumer	a k u t y m e
accréditation	a k ʁ e d i t a s j ɔ̃
accrédité	a k ʁ e d i t e
accréditée	a k ʁ e d i t e
accréditer	a k ʁ e d i t e
accréditrice	a k ʁ e d i t ʁ i s
accrémentitielle	a k ʁ e m ɑ̃ t i s j ɛ l
accrescent	a k ʁ ɛ s ɑ̃
accrescente	a k ʁ ɛ s ɑ̃ t
accrétion	a k ʁ e s j ɔ̃
accrétions	a k ʁ e s j ɔ̃
accro	a k ʁ o
accroc	a k ʁ o
accrocher	a k ʁ ɔ ʃ e
accrocheur	a k ʁ ɔ ʃ œ ʁ
accroissement	a k ʁ w a s m ɑ̃
accroître	a k ʁ w a t ʁ
accroupi	a k ʁ u p i
accroupir	a k ʁ u p i ʁ
accrue	a k ʁ y
accu	a k y
accueil	a k œ j
accueillir	a k œ j i ʁ
accula	a k y l a
acculai	a k y l e
acculaient	a k y l ɛ
acculais	a k y l ɛ
acculait	a k y l ɛ
acculâmes	a k y l ɑ m
acculant	a k y l ɑ̃
acculas	a k y l ɑ
acculasse	a k y l a s
acculassent	a k y l a s
acculasses	a k y l a s
acculassiez	a k y l a s j e
acculassions	a k y l a s j ɔ̃
acculât	a k y l ɑ
acculâtes	a k y l ɑ t
accule	a k y l
acculé	a k y l e
acculent	a k y l
acculer	a k y l e
acculera	a k y l ʁ a
acculerai	a k y l ʁ e
acculeraient	a k y l ʁ ɛ
acculerais	a k y l ʁ ɛ
acculerait	a k y l ʁ ɛ
acculeras	a k y l ʁ ɑ
acculèrent	a k y l ɛ ʁ
acculerez	a k y l ʁ e
acculeriez	a k y l ə ʁ j e
acculerions	a k y l ə ʁ j ɔ̃
acculerons	a k y l ʁ ɔ̃
acculeront	a k y l ʁ ɔ̃
accules	a k y l
acculez	a k y l e
acculiez	a k y l j e
acculions	a k y l j ɔ̃
acculons	a k y l ɔ̃
acculturation	a k y l t y ʁ a s j ɔ̃
acculturer	a k y l t y ʁ e
accumulateur	a k y m y l a t œ ʁ
accumulation	a k y m y l a s j ɔ̃
accumuler	a k y m y l e
accusatif	a k y z a t i f
accusation	a k y z a s j ɔ̃
accusé	a k y z e
accuser	a k y z e
ace	ɛ s
ace	ɛ j s
acentrée	a s ɑ̃ t ʁ e
acéracée	a s e ʁ a s e
acéraine	a s e ʁ ɛ n
acerbe	a s ɛ ʁ b
acéré	a s e ʁ e
acérola	a s e ʁ ɔ l a
acescent	a s ɛ s ɑ̃
acescente	a s ɛ s ɑ̃ t
acescentes	a s ɛ s ɑ̃ t
acétaliser	a s e t a l i z e
acétamide	a s e t a m i d
acétate	a s e t a t
acétée	a s e t e
acéteuse	a s e t ø z
acétifier	a s e t i f j e
acétone	a s e t ɔ n
acétylcholine	a s e t i l k ɔ l i n
acétylène	a s e t i l ɛ n
acétyler	a s e t i l e
acétylure	a s e t i l y ʁ
achaïe	a k a i
achaine	a ʃ ɛ n
achalandé	a ʃ a l ɑ̃ d e
achalander	a ʃ a l ɑ̃ d e
achaler	a ʃ a l e
achard	a ʃ a ʁ
acharner	a ʃ a ʁ n e
achat	a ʃ a
ache	a ʃ
achéen	a k e ɛ̃
achéenne	a k e ɛ n
acheminement	a ʃ m i n m ɑ̃
acheminer	a ʃ m i n e
achéron	a k e ʁ ɔ̃
acheter	a ʃ t e
acheter	a ʃ ə t e
acheteur	a ʃ t œ ʁ
acheuléenne	a ʃ ø l e ɛ n
achevé	a ʃ v e
achèvement	a ʃ ɛ v m ɑ̃
achèvements	a ʃ ɛ v m ɑ̃
achever	a ʃ v e
achigan	a ʃ i ɡ ɑ̃
achiléenne	a ʃ i l e ɛ n
achille	a ʃ i l
achillée	a k i l e
achilletalonesque	a ʃ i l t a l ɔ n ɛ s k
achilletalonnesque	a ʃ i l t a l ɔ n ɛ s k
achkenaze	a ʃ k e n a z
achkénaze	a ʃ k e n a z
acholie	a k ɔ l i
achondroplasie	a k ɔ̃ d ʁ ɔ p l a z i
achoppa	a ʃ ɔ p a
achoppai	a ʃ ɔ p e
achoppaient	a ʃ ɔ p ɛ
achoppais	a ʃ ɔ p ɛ
achoppait	a ʃ ɔ p ɛ
achoppâmes	a ʃ ɔ p ɑ m
achoppant	a ʃ ɔ p ɑ̃
achoppas	a ʃ ɔ p ɑ
achoppasse	a ʃ ɔ p a s
achoppassent	a ʃ ɔ p a s
achoppasses	a ʃ ɔ p a s
achoppassiez	a ʃ ɔ p a s j e
achoppassions	a ʃ ɔ p a s j ɔ̃
achoppât	a ʃ ɔ p ɑ
achoppâtes	a ʃ ɔ p ɑ t
achoppe	a ʃ ɔ p
achoppé	a ʃ ɔ p e
achoppent	a ʃ ɔ p
achoppera	a ʃ ɔ p ʁ a
achopperai	a ʃ ɔ p ʁ e
achopperaient	a ʃ ɔ p ʁ ɛ
achopperais	a ʃ ɔ p ʁ ɛ
achopperait	a ʃ ɔ p ʁ ɛ
achopperas	a ʃ ɔ p ʁ ɑ
achoppèrent	a ʃ ɔ p ɛ ʁ
achopperez	a ʃ ɔ p ʁ e
achopperiez	a ʃ ɔ p ə ʁ j e
achopperions	a ʃ ɔ p ə ʁ j ɔ̃
achopperons	a ʃ ɔ p ʁ ɔ̃
achopperont	a ʃ ɔ p ʁ ɔ̃
achoppes	a ʃ ɔ p
achoppez	a ʃ ɔ p e
achoppiez	a ʃ ɔ p j e
achoppions	a ʃ ɔ p j ɔ̃
achoppons	a ʃ ɔ p ɔ̃
achromaticité	a k ʁ ɔ m a t i s i t e
achromaticités	a k ʁ ɔ m a t i s i t e
achromatique	a k ʁ ɔ m a t i k
achromatiser	a k ʁ ɔ m a t i z e
achromatisme	a k ʁ ɔ m a t i s m
achromatope	a k ʁ ɔ m a t ɔ p
achromatopsique	a k ʁ ɔ m a t ɔ p s i k
achrome	a k ʁ o m
achromie	a k ʁ ɔ m i
achromique	a k ʁ ɔ m i k
achronique	a k ʁ ɔ n i k
acide	a s i d
acides	a s i d
acidifia	a s i d i f j a
acidifiai	a s i d i f j e
acidifiaient	a s i d i f j ɛ
acidifiais	a s i d i f j ɛ
acidifiait	a s i d i f j ɛ
acidifiâmes	a s i d i f j ɑ m
acidifiant	a s i d i f j ɑ̃
acidifias	a s i d i f j ɑ
acidifiasse	a s i d i f j a s
acidifiassent	a s i d i f j a s
acidifiasses	a s i d i f j a s
acidifiassiez	a s i d i f j a s j e
acidifiassions	a s i d i f j a s j ɔ̃
acidifiât	a s i d i f j ɑ
acidifiâtes	a s i d i f j ɑ t
acidification	a s i d i f i k a s j ɔ̃
acidifie	a s i d i f i
acidifié	a s i d i f j e
acidifient	a s i d i f i
acidifier	a s i d i f j e
acidifiera	a s i d i f i ʁ a
acidifierai	a s i d i f i ʁ e
acidifieraient	a s i d i f i ʁ ɛ
acidifierais	a s i d i f i ʁ ɛ
acidifierait	a s i d i f i ʁ ɛ
acidifieras	a s i d i f i ʁ ɑ
acidifièrent	a s i d i f j ɛ ʁ
acidifierez	a s i d i f i ʁ e
acidifieriez	a s i d i f i ʁ j e
acidifierions	a s i d i f i ʁ j ɔ̃
acidifierons	a s i d i f i ʁ ɔ̃
acidifieront	a s i d i f i ʁ ɔ̃
acidifies	a s i d i f i
acidifiez	a s i d i f j e
acidifiiez	a s i d i f i j e
acidifiions	a s i d i f i j ɔ̃
acidifions	a s i d i f j ɔ̃
acidique	a s i d i k
acidiques	a s i d i k
acidité	a s i d i t e
acidose	a s i d o z
acidula	a s i d y l a
acidulai	a s i d y l e
acidulaient	a s i d y l ɛ
acidulais	a s i d y l ɛ
acidulait	a s i d y l ɛ
acidulâmes	a s i d y l ɑ m
acidulas	a s i d y l ɑ
acidulasse	a s i d y l a s
acidulassent	a s i d y l a s
acidulasses	a s i d y l a s
acidulassiez	a s i d y l a s j e
acidulassions	a s i d y l a s j ɔ̃
acidulât	a s i d y l ɑ
acidulâtes	a s i d y l ɑ t
acidule	a s i d y l
acidulé	a s i d y l e
acidulent	a s i d y l
aciduler	a s i d y l e
acidulera	a s i d y l ʁ a
acidulerai	a s i d y l ʁ e
aciduleraient	a s i d y l ʁ ɛ
acidulerais	a s i d y l ʁ ɛ
acidulerait	a s i d y l ʁ ɛ
aciduleras	a s i d y l ʁ ɑ
acidulèrent	a s i d y l ɛ ʁ
acidulerez	a s i d y l ʁ e
aciduleriez	a s i d y l ə ʁ j e
acidulerions	a s i d y l ə ʁ j ɔ̃
acidulerons	a s i d y l ʁ ɔ̃
aciduleront	a s i d y l ʁ ɔ̃
acidules	a s i d y l
acidulez	a s i d y l e
aciduliez	a s i d y l j e
acidulions	a s i d y l j ɔ̃
acidulons	a s i d y l ɔ̃
acier	a s j e
aciération	a s j e ʁ a s j ɔ̃
aciéreuse	a s j e ʁ ø z
aciérie	a s j e ʁ i
acineuse	a s i n ø z
acl	a s e ɛ l
aclaste	a k l a s t
aclinale	a k l i n a l
acné	a k n e
acnodale	a k n ɔ d a l
acœlomate	a s e l ɔ m a t
acolyte	a k ɔ l i t
acommerciale	a k ɔ m ɛ ʁ s j a l
acompte	a k ɔ̃ t
aconit	a k ɔ n i
acoquiner	a k ɔ k i n e
açores	a s ɔ ʁ
acouphène	a k u f ɛ n
acoustique	a k u s t i k
acoustiquement	a k u s t i k m ɑ̃
acoustiques	a k u s t i k
acquéreur	a k e ʁ œ ʁ
acquéreuse	a k e ʁ ø z
acquérir	a k e ʁ i ʁ
acquêt	a k ɛ
acquêts	a k ɛ
acquiescer	a k j e s e
acquis	a k i
acquisitif	a k i z i t i f
acquisition	a k i z i s j ɔ̃
acquit	a k i
acquitta	a k i t a
acquittai	a k i t e
acquittaient	a k i t ɛ
acquittais	a k i t ɛ
acquittait	a k i t ɛ
acquittâmes	a k i t ɑ m
acquittant	a k i t ɑ̃
acquittas	a k i t ɑ
acquittasse	a k i t a s
acquittassent	a k i t a s
acquittasses	a k i t a s
acquittassiez	a k i t a s j e
acquittassions	a k i t a s j ɔ̃
acquittât	a k i t ɑ
acquittâtes	a k i t ɑ t
acquitte	a k i t
acquitté	a k i t e
acquittement	a k i t m ɑ̃
acquittent	a k i t
acquitter	a k i t e
acquittera	a k i t ʁ a
acquitterai	a k i t ʁ e
acquitteraient	a k i t ʁ ɛ
acquitterais	a k i t ʁ ɛ
acquitterait	a k i t ʁ ɛ
acquitteras	a k i t ʁ ɑ
acquittèrent	a k i t ɛ ʁ
acquitterez	a k i t ʁ e
acquitteriez	a k i t ə ʁ j e
acquitterions	a k i t ə ʁ j ɔ̃
acquitterons	a k i t ʁ ɔ̃
acquitteront	a k i t ʁ ɔ̃
acquittes	a k i t
acquittez	a k i t e
acquittiez	a k i t j e
acquittions	a k i t j ɔ̃
acquittons	a k i t ɔ̃
acratopège	a k ʁ a t ɔ p ɛ ʒ
acre	a k ʁ
acre	a k ʁ
âcre	ɑ k ʁ
acres	a k ʁ
âcres	ɑ k ʁ
âcreté	ɑ k ʁ ə t e
acridienne	a k ʁ i d j ɛ n
acrimoniale	a k ʁ i m ɔ n j a l
acrobate	a k ʁ ɔ b a t
acrobatie	a k ʁ ɔ b a s i
acrobaties	a k ʁ ɔ b a s i
acrobatique	a k ʁ ɔ b a t i k
acrolecte	a k ʁ ɔ l ɛ k t
acromiale	a k ʁ ɔ m j a l
acromienne	a k ʁ ɔ m j ɛ n
acromion	a k ʁ ɔ m j ɔ̃
acronyme	a k ʁ ɔ n i m
acrophobie	a k ʁ ɔ f ɔ b i
acrophonie	a k ʁ ɔ f ɔ n i
acta	a k t a
actantielle	a k t ɑ̃ s j ɛ l
acte	a k t
actes	a k t
acteur	a k t œ ʁ
acteurs	a k t œ ʁ
actif	a k t i f
actifs	a k t i f
actinide	a k t i n i d
actinie	a k t i n i
actinique	a k t i n i k
actinium	a k t i n j ɔ m
actinorhizienne	a k t i n ɔ ʁ i z j ɛ n
actinothérapie	a k t i n ɔ t e ʁ a p i
actinothérapies	a k t i n ɔ t e ʁ a p i
action	a k s j ɔ̃
actionnaire	a k s j ɔ n ɛ ʁ
actionnariale	a k s j ɔ n a ʁ j a l
actionnelle	a k s j ɔ n ɛ l
actionner	a k s j ɔ n e
activa	a k t i v a
activai	a k t i v e
activaient	a k t i v ɛ
activais	a k t i v ɛ
activait	a k t i v ɛ
activâmes	a k t i v ɑ m
activant	a k t i v ɑ̃
activas	a k t i v a
activasse	a k t i v a s
activassent	a k t i v a s
activasses	a k t i v a s
activassiez	a k t i v a s j e
activassions	a k t i v a s j ɔ̃
activât	a k t i v ɑ
activâtes	a k t i v ɑ t
activation	a k t i v a s j ɔ̃
activé	a k t i v e
activée	a k t i v e
activées	a k t i v e
activement	a k t i v m ɑ̃
activent	a k t i v
activer	a k t i v e
activera	a k t i v ʁ a
activerai	a k t i v ʁ e
activeraient	a k t i v ʁ ɛ
activerais	a k t i v ʁ ɛ
activerait	a k t i v ʁ ɛ
activeras	a k t i v ʁ ɑ
activèrent	a k t i v ɛ ʁ
activerez	a k t i v ʁ e
activeriez	a k t i v ə ʁ j e
activerions	a k t i v ə ʁ j ɔ̃
activerons	a k t i v ʁ ɔ̃
activeront	a k t i v ʁ ɔ̃
actives	a k t i v
activés	a k t i v e
activez	a k t i v e
activiez	a k t i v j e
activions	a k t i v j ɔ̃
activité	a k t i v i t e
activons	a k t i v ɔ̃
actrice	a k t ʁ i s
actrices	a k t ʁ i s
actu	a k t y
actuaire	a k t ɥ ɛ ʁ
actuaires	a k t ɥ ɛ ʁ
actualisation	a k t ɥ a l i z a s j ɔ̃
actualiser	a k t ɥ a l i z e
actualisme	a k t ɥ a l i z m
actualité	a k t ɥ a l i t e
actualités	a k t ɥ a l i t e
actuel	a k t ɥ ɛ l
actuelle	a k t ɥ ɛ l
actuellement	a k t ɥ ɛ l m ɑ̃
actuelles	a k t ɥ ɛ l
actuels	a k t ɥ ɛ l
acuité	a k ɥ i t e
acuminée	a k y m i n e
acuponctrice	a k y p ɔ̃ k t ʁ i s
acuponcture	a k y p ɔ̃ k t y ʁ
acupuncture	a k y p ɔ̃ k t y ʁ
acut	a k y
acutangle	a k y t ɑ̃ ɡ l
acutangulée	a k y t ɑ̃ ɡ y l e
acute	a k y t
acutes	a k y t
acuts	a k y
acyclique	a s i k l i k
adage	a d a ʒ
adagio	a d a d ʒ j o
adam	a d ɑ̃
adamantin	a d a m ɑ̃ t ɛ̃
adamienne	a d a m j ɛ n
adaptable	a d a p t a b l
adaptables	a d a p t a b l
adaptateur	a d a p t a t œ ʁ
adaptation	a d a p t a s j ɔ̃
adaptatrice	a d a p t a t ʁ i s
adapté	a d a p t e
adapter	a d a p t e
addictif	a d i k t i f
addiction	a d i k s j ɔ̃
addictive	a d i k t i v
addictivement	a d i k t i v m ɑ̃
addictologue	a d i k t ɔ l ɔ ɡ
addition	a d i s j ɔ̃
additionnel	a d i s j ɔ n ɛ l
additionner	a d i s j ɔ n e
additionneur	a d i s j ɔ n œ ʁ
additions	a d i s j ɔ̃
additivation	a d i t i v a s j ɔ̃
additivée	a d i t i v e
additives	a d i t i v
adducteur	a d y k t œ ʁ
adductif	a d y k t i f
adductifs	a d y k t i f
adductive	a d y k t i v
adductives	a d y k t i v
adélaïde	a d e l a i d
adélard	a d e l a ʁ
adèle	a d ɛ l
adélie	a d e l i
adeline	a d l i n
adelphe	a d ɛ l f
adénite	a d e n i t
adénoassociée	a d e n ɔ a s ɔ s j e
adénoïde	a d e n ɔ i d
adénoïdes	a d e n ɔ i d
adénomateuse	a d e n ɔ m a t ø z
adénome	a d e n o m
adénoviral	a d e n o v i ʁ a l
adénovirale	a d e n ɔ v i ʁ a l
adéquat	a d e k w a
adéquate	a d e k w a t
adéquatement	a d e k w a t m ɑ̃
adéquates	a d e k w a t
adéquation	a d e k w a s j ɔ̃
adéquats	a d e k w a
adéquiste	a d e k i s t
adessif	a d ɛ s i f
adextrée	a d ɛ k s t ʁ e
adhérent	a d e ʁ ɑ̃
adhérents	a d e ʁ ɑ̃
adhérer	a d e ʁ e
adhésif	a d e z i f
adhésifs	a d e z i f
adhésion	a d e z j ɔ̃
adhésivée	a d e z i v e
adhésivement	a d e z i v m ɑ̃
adiabatique	a d j a b a t i k
adiabène	a d j a b ɛ n
adiabénien	a d j a b e n j ɛ̃
adieu	a d j ø
adieux	a d j ø
adipeux	a d i p ø
adiposogénitale	a d i p o z ɔ ʒ e n i t a l
adive	a d i v
adja	a d ʒ a
adjacence	a d ʒ a s ɑ̃ s
adjacent	a d ʒ a s ɑ̃
adjacente	a d ʒ a s ɑ̃ t
adjectif	a d ʒ ɛ k t i f
adjectivation	a d ʒ ɛ k t i v a s j ɔ̃
adjectivatrice	a d ʒ ɛ k t i v a t ʁ i s
adjective	a d ʒ ɛ k t i v
adjoindre	a d ʒ w ɛ̃ d ʁ
adjoint	a d ʒ w ɛ̃
adjudant	a d ʒ y d ɑ̃
adjudicataire	a d ʒ y d i k a t ɛ ʁ
adjudicatif	a d ʒ y d i k a t i f
adjudicatifs	a d ʒ y d i k a t i f
adjudication	a d ʒ y d i k a s j ɔ̃
adjudicative	a d ʒ y d i k a t i v
adjudicatives	a d ʒ y d i k a t i v
adjuge	a d ʒ y ʒ
adjugé	a d ʒ y ʒ e
adjugea	a d ʒ y ʒ a
adjugeai	a d ʒ y ʒ e
adjugeaient	a d ʒ y ʒ ɛ
adjugeais	a d ʒ y ʒ ɛ
adjugeait	a d ʒ y ʒ ɛ
adjugeâmes	a d ʒ y ʒ ɑ m
adjugeant	a d ʒ y ʒ ɑ̃
adjugeas	a d ʒ y ʒ ɑ
adjugeasse	a d ʒ y ʒ a s
adjugeassent	a d ʒ y ʒ a s
adjugeasses	a d ʒ y ʒ a s
adjugeassiez	a d ʒ y ʒ a s j e
adjugeassions	a d ʒ y ʒ a s j ɔ̃
adjugeât	a d ʒ y ʒ ɑ
adjugeâtes	a d ʒ y ʒ ɑ t
adjugent	a d ʒ y ʒ
adjugeons	a d ʒ y ʒ ɔ̃
adjuger	a d ʒ y ʒ e
adjugera	a d ʒ y ʒ ʁ a
adjugerai	a d ʒ y ʒ ʁ e
adjugeraient	a d ʒ y ʒ ʁ ɛ
adjugerais	a d ʒ y ʒ ʁ ɛ
adjugerait	a d ʒ y ʒ ʁ ɛ
adjugeras	a d ʒ y ʒ ʁ ɑ
adjugèrent	a d ʒ y ʒ ɛ ʁ
adjugerez	a d ʒ y ʒ ʁ e
adjugeriez	a d ʒ y ʒ ə ʁ j e
adjugerions	a d ʒ y ʒ ə ʁ j ɔ̃
adjugerons	a d ʒ y ʒ ʁ ɔ̃
adjugeront	a d ʒ y ʒ ʁ ɔ̃
adjuges	a d ʒ y ʒ
adjugez	a d ʒ y ʒ e
adjugiez	a d ʒ y ʒ j e
adjugions	a d ʒ y ʒ j ɔ̃
adjuvante	a d ʒ y v ɑ̃ t
adjuvantes	a d ʒ y v ɑ̃ t
admettre	a d m ɛ t ʁ
administra	a d m i n i s t ʁ a
administrai	a d m i n i s t ʁ e
administrais	a d m i n i s t ʁ ɛ
administras	a d m i n i s t ʁ a
administrasse	a d m i n i s t ʁ a s
administrasses	a d m i n i s t ʁ a s
administrateur	a d m i n i s t ʁ a t œ ʁ
administratif	a d m i n i s t ʁ a t i f
administration	a d m i n i s t ʁ a s j ɔ̃
administratrice	a d m i n i s t ʁ a t ʁ i s
administre	a d m i n i s t ʁ
administrer	a d m i n i s t ʁ e
administres	a d m i n i s t ʁ
admirable	a d m i ʁ a b l
admirables	a d m i ʁ a b l
admirateur	a d m i ʁ a t œ ʁ
admiratif	a d m i ʁ a t i f
admiration	a d m i ʁ a s j ɔ̃
admiratrice	a d m i ʁ a t ʁ i s
admirer	a d m i ʁ e
admissibles	a d m i s i b l
admission	a d m i s j ɔ̃
admissions	a d m i s j ɔ̃
admit	a d m i
admittance	a d m i t ɑ̃ s
admonester	a d m ɔ n ɛ s t e
adn	a d e ɛ n
adné	a d n e
adnominal	a d n ɔ m i n a l
adnominale	a d n ɔ m i n a l
ado	a d o
adobe	a d ɔ b
adolescence	a d ɔ l ɛ s ɑ̃ s
adolescent	a d ɔ l ɛ s ɑ̃
adolescente	a d ɔ l ɛ s ɑ̃ t
adolescents	a d ɔ l ɛ s ɑ̃
adolphe	a d ɔ l f
adonide	a d ɔ n i d
adonides	a d ɔ n i d
adonienne	a d ɔ n j ɛ n
adonner	a d ɔ n e
adopta	a d ɔ p t a
adoptai	a d ɔ p t e
adoptais	a d ɔ p t ɛ
adoptante	a d ɔ p t ɑ̃ t
adoptas	a d ɔ p t a
adoptasse	a d ɔ p t a s
adoptasses	a d ɔ p t a s
adopte	a d ɔ p t
adopter	a d ɔ p t e
adoptes	a d ɔ p t
adoptez	a d ɔ p t e
adoptif	a d ɔ p t i f
adoption	a d ɔ p s j ɔ̃
adoptions	a d ɔ p t j ɔ̃
adoptions	a d ɔ p s j ɔ̃
adorable	a d ɔ ʁ a b l
adorables	a d ɔ ʁ a b l
adorai	a d ɔ ʁ e
adorais	a d ɔ ʁ ɛ
adorant	a d ɔ ʁ ɑ̃
adoras	a d ɔ ʁ a
adorasse	a d ɔ ʁ a s
adorasses	a d ɔ ʁ a s
adorateur	a d ɔ ʁ a t œ ʁ
adoratif	a d ɔ ʁ a t i f
adoratifs	a d ɔ ʁ a t i f
adoration	a d ɔ ʁ a s j ɔ̃
